Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,2.834935835,0.498537699,Q9UK97;Q9UK97-2;Q9UK97-3,Q9UK97;Q9UK97-2;Q9UK97-3,FBX9_HUMAN,FBXO9
+,3.477612769,0.498188019,O95347,O95347;O95347-2,SMC2_HUMAN,SMC2
+,1.604056217,0.498034159,Q9NU19,Q9NU19,TB22B_HUMAN,TBC1D22B
+,1.509888726,0.497021993,Q92499,Q92499;Q92499-3,DDX1_HUMAN,DDX1
+,1.130827609,0.496756236,Q969R8,Q969R8,ITFG2_HUMAN,ITFG2
+,1.607031799,0.496746699,Q9Y570;Q9Y570-4,Q9Y570;Q9Y570-2;Q9Y570-4,PPME1_HUMAN,PPME1
+,2.680574901,0.496143977,O00308,O00308;O00308-2;O00308-3;Q9H0M0;Q9H0M0-3;Q9H0M0-6,WWP2_HUMAN,WWP2
+,1.394624827,0.493160884,Q9Y2I8;Q9Y2I8-2,Q9Y2I8;Q9Y2I8-2;Q9Y2I8-3,WDR37_HUMAN,WDR37
+,3.426300501,0.493010203,O75534;O75534-2;O75534-3;O75534-4,O75534;O75534-2;O75534-3;O75534-4,CSDE1_HUMAN,CSDE1
+,2.518782252,0.492896398,P30153,P30153,2AAA_HUMAN,PPP2R1A
+,4.506366181,0.491223017,O60749;O60749-2,O60749;O60749-2;Q13596;Q13596-2,SNX2_HUMAN,SNX2
+,2.693559173,0.490931193,Q15386,Q15386,UBE3C_HUMAN,UBE3C
+,2.514999685,0.490725835,O15160;O15160-2,O15160;O15160-2,RPAC1_HUMAN,POLR1C
+,1.239872536,0.490307808,Q16774;Q16774-2;Q16774-3,Q16774;Q16774-2;Q16774-3,KGUA_HUMAN,GUK1
+,0.930332098,0.489311218,P51572;P51572-2,P51572;P51572-2,BAP31_HUMAN,BCAP31
+,3.201410641,0.489086151,Q0VDF9,Q0VDF9,HSP7E_HUMAN,HSPA14
+,2.317511318,0.488704681,Q16644,Q16644,MAPK3_HUMAN,MAPKAPK3
+,2.941048754,0.488578796,P63244,P63244,RACK1_HUMAN,RACK1
+,1.517759894,0.488115946,Q04864;Q04864-2,Q04864;Q04864-2,REL_HUMAN,REL
+,2.637013081,0.488054911,Q9ULC3,Q9ULC3,RAB23_HUMAN,RAB23
+,2.74740144,0.48763148,Q9NZ43;Q9NZ43-2;Q9NZ43-3,Q9NZ43;Q9NZ43-2;Q9NZ43-3,USE1_HUMAN,USE1
+,2.285782998,0.487070084,Q9UKK3,Q9UKK3,PARP4_HUMAN,PARP4
+,2.155008814,0.485186259,Q9H9V9;Q9H9V9-2,Q9H9V9;Q9H9V9-2,JMJD4_HUMAN,JMJD4
+,1.900205675,0.484997431,Q9BS40,Q9BS40,LXN_HUMAN,LXN
+,3.210439075,0.484431585,P52306;P52306-2;P52306-3;P52306-5;P52306-6,P52306;P52306-2;P52306-3;P52306-4;P52306-5;P52306-6,GDS1_HUMAN,RAP1GDS1
+,2.657646833,0.48394839,O14617;O14617-4;O14617-5,O14617;O14617-4;O14617-5,AP3D1_HUMAN,AP3D1
+,1.110381808,0.483846664,P49366,P49366;P49366-3,DHYS_HUMAN,DHPS
+,2.513767201,0.483673096,Q92538;Q92538-2;Q92538-3,Q92538;Q92538-2;Q92538-3,GBF1_HUMAN,GBF1
+,2.107831754,0.483385722,Q96N66;Q96N66-2;Q96N66-3,Q96N66;Q96N66-2;Q96N66-3,MBOA7_HUMAN,MBOAT7
+,1.730416254,0.483020147,P32929;P32929-2;P32929-3,P32929;P32929-2;P32929-3,CGL_HUMAN,CTH
+,2.864498248,0.482435862,O95219,O95219;O95219-2,SNX4_HUMAN,SNX4
+,1.890981106,0.482283274,P15374,P15374,UCHL3_HUMAN,UCHL3
+,2.300886853,0.482231776,Q13404;Q13404-1;Q13404-2;Q13404-7,Q13404;Q13404-1;Q13404-2;Q13404-6;Q13404-7,UB2V1_HUMAN,UBE2V1
+,1.233662427,0.482020696,Q08379,Q08379;Q08379-2,GOGA2_HUMAN,GOLGA2
+,1.412726771,0.48147583,Q6GQQ9;Q6GQQ9-2,Q6GQQ9;Q6GQQ9-2,OTU7B_HUMAN,OTUD7B
+,1.23718251,0.480350812,O43524;O43524-2,O43524;O43524-2,FOXO3_HUMAN,FOXO3
+,4.258897828,0.479234695,Q96EV8;Q96EV8-2,Q96EV8;Q96EV8-2,DTBP1_HUMAN,DTNBP1
+,2.946818316,0.478481293,Q13642-1;Q13642-4;Q13642-5,Q13642;Q13642-1;Q13642-3;Q13642-4;Q13642-5,FHL1_HUMAN,FHL1
+,1.651970901,0.478337924,O00522;O00522-3,O00522;O00522-3,KRIT1_HUMAN,KRIT1
+,2.649726498,0.478284836,Q6P597;Q6P597-2;Q6P597-3,Q6P597;Q6P597-2;Q6P597-3,KLC3_HUMAN,KLC3
+,1.57048308,0.477835337,Q96R06,Q96R06,SPAG5_HUMAN,SPAG5
+,2.617621125,0.477550507,Q9Y6D6,Q9Y6D6,BIG1_HUMAN,ARFGEF1
+,2.546397563,0.477228165,Q9HD26;Q9HD26-2,Q9HD26;Q9HD26-2;Q9HD26-3,GOPC_HUMAN,GOPC
+,2.667055677,0.476133347,Q96JH7,Q96JH7,VCIP1_HUMAN,VCPIP1
+,3.696114074,0.475676219,Q99707,Q99707;Q99707-2,METH_HUMAN,MTR
+,2.555404683,0.475578308,O00299,O00299,CLIC1_HUMAN,CLIC1
+,3.044478204,0.475553513,Q5VSL9,Q5VSL9;Q5VSL9-2;Q5VSL9-4,STRP1_HUMAN,STRIP1
+,4.438802927,0.474545161,Q86Y56,Q86Y56;Q86Y56-2,DAAF5_HUMAN,DNAAF5
+,3.605816074,0.474534988,Q13049,Q13049,TRI32_HUMAN,TRIM32
+,2.515766927,0.474193891,Q5THJ4;Q5THJ4-2,Q5THJ4;Q5THJ4-2,VP13D_HUMAN,VPS13D
+,2.076355508,0.472237269,P19367;P19367-2;P19367-3;P19367-4,P19367;P19367-2;P19367-3;P19367-4,HXK1_HUMAN,HK1
+,2.392710114,0.471990585,Q9HD42,Q9HD42,CHM1A_HUMAN,CHMP1A
+,3.262554046,0.471968333,P53677,P53677,AP3M2_HUMAN,AP3M2
+,1.862659549,0.471774419,Q14680;Q14680-2;Q14680-7;Q14680-8,Q14680;Q14680-2;Q14680-7;Q14680-8,MELK_HUMAN,MELK
+,2.470463764,0.471082687,Q9Y4W2;Q9Y4W2-2,Q9Y4W2;Q9Y4W2-2;Q9Y4W2-3,LAS1L_HUMAN,LAS1L
+,1.028434944,0.470931371,Q9Y487,Q9Y487,VPP2_HUMAN,ATP6V0A2
+,3.310977606,0.470907847,P61011;P61011-2,P61011;P61011-2,SRP54_HUMAN,SRP54
+,1.011772258,0.470695813,Q9UKT4;Q9UKT4-2,Q9UKT4;Q9UKT4-2,FBX5_HUMAN,FBXO5
+,2.581147768,0.469926834,Q8IYS1,Q8IYS1,P20D2_HUMAN,PM20D2
+,1.870156475,0.468859355,P61086,P61086;P61086-3,UBE2K_HUMAN,UBE2K
+,1.479857322,0.468313217,Q6YP21;Q6YP21-3,Q6YP21;Q6YP21-3,KAT3_HUMAN,KYAT3
+,1.483455804,0.468148549,Q9Y3C0,Q9Y3C0,WASC3_HUMAN,WASHC3
+,2.029692362,0.467118581,B2RTY4;B2RTY4-2;B2RTY4-4,B2RTY4;B2RTY4-2;B2RTY4-4;B2RTY4-5,MYO9A_HUMAN,MYO9A
+,1.155302675,0.466262817,Q9HB90,Q9HB90;Q9NQL2,RRAGC_HUMAN,RRAGC
+,2.021704626,0.465291341,P23258,P23258;Q9NRH3,TBG1_HUMAN,TUBG1
+,3.438250715,0.465252558,Q96RT7;Q96RT7-2;Q96RT7-3,Q96RT7;Q96RT7-2;Q96RT7-3,GCP6_HUMAN,TUBGCP6
+,2.319734566,0.465208689,Q12981,Q12981;Q12981-1;Q12981-2;Q12981-3,SEC20_HUMAN,BNIP1
+,3.745903708,0.465147018,P63104,P63104;P63104-2,1433Z_HUMAN,YWHAZ
+,1.54704819,0.464593252,Q08AG7,Q08AG7,MZT1_HUMAN,MZT1
+,2.798039018,0.464289347,O75792,O75792,RNH2A_HUMAN,RNASEH2A
+,2.378125745,0.464099248,Q99733;Q99733-2,Q99733;Q99733-2,NP1L4_HUMAN,NAP1L4
+,2.418009464,0.463867823,P46060,P46060,RAGP1_HUMAN,RANGAP1
+,1.720261294,0.463773727,A8K855;A8K855-2,A8K855;A8K855-2,EFCB7_HUMAN,EFCAB7
+,3.062722569,0.463371913,O95433,O95433,AHSA1_HUMAN,AHSA1
+,2.168644582,0.461734772,Q9Y4D8-5,Q9Y4D8-5,HECD4_HUMAN,HECTD4
+,1.394304583,0.460934321,Q7L7X3,Q7L7X3;Q7L7X3-3,TAOK1_HUMAN,TAOK1
+,2.744771146,0.460889181,Q9H9A6,Q9H9A6,LRC40_HUMAN,LRRC40
+,0.965139425,0.460379918,Q9NRM2,Q9NRM2,ZN277_HUMAN,ZNF277
+,1.217509434,0.459450086,Q9NXN4;Q9NXN4-2,Q9NXN4;Q9NXN4-2,GDAP2_HUMAN,GDAP2
+,1.366906395,0.458950361,Q9BYC8,Q9BYC8,RM32_HUMAN,MRPL32
+,2.395247708,0.458555857,Q14232,Q14232,EI2BA_HUMAN,EIF2B1
+,3.532077922,0.458240509,O95905;O95905-3,O95905;O95905-2;O95905-3,ECD_HUMAN,ECD
+,1.016578388,0.458109538,O95684;O95684-2,O95684;O95684-2,CEP43_HUMAN,CEP43
+,2.653822694,0.45538648,Q6PD74,Q6PD74,AAGAB_HUMAN,AAGAB
+,1.683509103,0.455366135,O95544;O95544-2,O95544;O95544-2;O95544-3,NADK_HUMAN,NADK
+,1.250072712,0.455189387,P51580,P51580,TPMT_HUMAN,TPMT
+,2.321400288,0.454651515,Q8N0Z6,Q8N0Z6,TTC5_HUMAN,TTC5
+,3.774111374,0.454616547,P49770,P49770,EI2BB_HUMAN,EIF2B2
+,2.808272862,0.454362233,P50851-2,P50851;P50851-2,LRBA_HUMAN,LRBA
+,1.890559458,0.453889211,O95671;O95671-2,O95671;O95671-2,ASML_HUMAN,ASMTL
+,1.666023904,0.453884761,P60520,P60520,GBRL2_HUMAN,GABARAPL2
+,1.584017581,0.45365715,Q9H840,Q9H840,GEMI7_HUMAN,GEMIN7
+,2.886135581,0.452896118,P54652,P54652,HSP72_HUMAN,HSPA2
+,2.578167509,0.451997121,Q92974;Q92974-2;Q92974-3,Q92974;Q92974-2;Q92974-3,ARHG2_HUMAN,ARHGEF2
+,2.084977163,0.451960882,Q8N6R0,Q8N6R0;Q8N6R0-1;Q8N6R0-3;Q8N6R0-4,EFNMT_HUMAN,METTL13
+,2.776743977,0.451581319,O15067,O15067,PUR4_HUMAN,PFAS
+,2.521038113,0.451105754,Q9UNY4,Q9UNY4,TTF2_HUMAN,TTF2
+,1.779113228,0.451065063,Q96H20,Q96H20;Q96H20-2,SNF8_HUMAN,SNF8
+,2.905580181,0.449038188,Q9UBF8;Q9UBF8-2,Q9UBF8;Q9UBF8-2;Q9UBF8-3,PI4KB_HUMAN,PI4KB
+,1.920533303,0.447896322,P13798,P13798,ACPH_HUMAN,APEH
+,4.521173356,0.447743098,P62826,P62826,RAN_HUMAN,RAN
+,2.168390556,0.447621028,O15305,O15305,PMM2_HUMAN,PMM2
+,1.390247114,0.447413127,O60493,O60493;O60493-3;O60493-4,SNX3_HUMAN,SNX3
+,3.004318274,0.446123759,P43487;P43487-2,P43487;P43487-2,RANG_HUMAN,RANBP1
+,1.450424372,0.445396423,Q7Z7L7,Q7Z7L7,ZER1_HUMAN,ZER1
+,2.543764357,0.444725672,Q96EE3;Q96EE3-1,Q96EE3;Q96EE3-1,SEH1_HUMAN,SEH1L
+,2.943694601,0.44470787,Q6IA86;Q6IA86-2;Q6IA86-3;Q6IA86-5;Q6IA86-6,Q6IA86;Q6IA86-2;Q6IA86-3;Q6IA86-5;Q6IA86-6;Q6IA86-7,ELP2_HUMAN,ELP2
+,1.975587607,0.443037669,P14735,P14735,IDE_HUMAN,IDE
+,2.864238479,0.442380905,Q9UHD9,Q9UHD9,UBQL2_HUMAN,UBQLN2
+,2.707288825,0.440363566,Q9BTV4,Q9BTV4,TMM43_HUMAN,TMEM43
+,2.0559,0.440118154,P49137,O43930;P49137;P49137-2;P51817;Q16644;Q96PN8,MAPK2_HUMAN,MAPKAPK2
+,2.913355546,0.440031687,P30740,P30740,ILEU_HUMAN,SERPINB1
+,1.242301001,0.438886642,Q7L804;Q7L804-2,Q7L804;Q7L804-2,RFIP2_HUMAN,RAB11FIP2
+,1.198233582,0.438721339,Q8WUJ3;Q8WUJ3-2,Q8WUJ3;Q8WUJ3-2,CEMIP_HUMAN,CEMIP
+,1.36789665,0.438641866,Q9H2D6;Q9H2D6-2;Q9H2D6-3;Q9H2D6-5;Q9H2D6-7,Q9H2D6;Q9H2D6-2;Q9H2D6-3;Q9H2D6-5;Q9H2D6-7,TARA_HUMAN,TRIOBP
+,3.798651771,0.438536962,Q14974,Q14974,IMB1_HUMAN,KPNB1
+,2.367850998,0.438493093,Q96RU3;Q96RU3-2;Q96RU3-3;Q96RU3-4;Q96RU3-5,Q96RU3;Q96RU3-2;Q96RU3-3;Q96RU3-4;Q96RU3-5,FNBP1_HUMAN,FNBP1
+,1.541491527,0.438147863,Q96IZ0,Q96IZ0,PAWR_HUMAN,PAWR
+,1.224454832,0.437585831,A0JNW5,A0JNW5,BLT3B_HUMAN,BLTP3B
+,1.273289835,0.437190374,Q9NQR4,Q9NQR4,NIT2_HUMAN,NIT2
+,1.948965851,0.436278025,P16949;P16949-2,P16949;P16949-2,STMN1_HUMAN,STMN1
+,2.00598601,0.436256409,P46459,P46459;P46459-2,NSF_HUMAN,NSF
+,3.909297017,0.436045965,Q6DKJ4,Q6DKJ4;Q6DKJ4-3,NXN_HUMAN,NXN
+,2.062325134,0.434903463,Q0VDG4;Q0VDG4-2,Q0VDG4;Q0VDG4-2,SCRN3_HUMAN,SCRN3
+,2.858762462,0.434143702,Q4G0F5,Q4G0F5,VP26B_HUMAN,VPS26B
+,2.485411985,0.434019725,O43776,O43776;O43776-2,SYNC_HUMAN,NARS1
+,1.892757672,0.433855693,Q9Y4K3,Q9Y4K3,TRAF6_HUMAN,TRAF6
+,1.183570016,0.433350245,Q99627;Q99627-2,Q99627;Q99627-2,CSN8_HUMAN,COPS8
+,2.206729664,0.432813009,Q5TDH0;Q5TDH0-3,Q5TDH0;Q5TDH0-2;Q5TDH0-3,DDI2_HUMAN,DDI2
+,2.68805004,0.432694753,P55786,A6NEC2;P55786;P55786-2,PSA_HUMAN,NPEPPS
+,1.436054645,0.432240486,Q13232,Q13232,NDK3_HUMAN,NME3
+,1.269008961,0.431880315,P16333,P16333,NCK1_HUMAN,NCK1
+,2.451110141,0.4314785,Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5,Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5,C2CD5_HUMAN,C2CD5
+,1.662971305,0.430484772,Q01813,Q01813;Q01813-2,PFKAP_HUMAN,PFKP
+,1.46412855,0.430156072,Q9BZE9;Q9BZE9-2,Q9BZE9;Q9BZE9-2,ASPC1_HUMAN,ASPSCR1
+,1.811137076,0.429826101,A6NDG6,A6NDG6,PGP_HUMAN,PGP
+,1.967285271,0.429512024,O95757,O95757,HS74L_HUMAN,HSPA4L
+,1.916146326,0.428946813,Q92621,Q92621,NU205_HUMAN,NUP205
+,1.578836086,0.426567078,Q12979;Q12979-2;Q12979-4,Q12979;Q12979-2;Q12979-3;Q12979-4,ABR_HUMAN,ABR
+,1.838072656,0.426355362,O95801,O95801,TTC4_HUMAN,TTC4
+,1.242823914,0.426137924,Q7Z739,Q7Z739,YTHD3_HUMAN,YTHDF3
+,2.218395478,0.425075531,Q9BTE6;Q9BTE6-2;Q9BTE6-3,Q9BTE6;Q9BTE6-2;Q9BTE6-3,AASD1_HUMAN,AARSD1
+,1.791271847,0.42313385,Q9H583,Q9H583,HEAT1_HUMAN,HEATR1
+,2.363007219,0.423089345,Q8TEW0;Q8TEW0-11;Q8TEW0-2;Q8TEW0-4;Q8TEW0-5;Q8TEW0-8,Q8TEW0;Q8TEW0-10;Q8TEW0-11;Q8TEW0-2;Q8TEW0-3;Q8TEW0-4;Q8TEW0-5;Q8TEW0-6;Q8TEW0-7;Q8TEW0-8;Q8TEW0-9,PARD3_HUMAN,PARD3
+,2.745790934,0.422392527,Q15276,Q15276;Q15276-2,RABE1_HUMAN,RABEP1
+,2.429758826,0.422360102,Q8TAF3,Q8TAF3;Q8TAF3-3;Q8TAF3-4;Q8TAF3-5,WDR48_HUMAN,WDR48
+,1.99037184,0.421991984,P55209;P55209-2,P55209;P55209-2,NP1L1_HUMAN,NAP1L1
+,1.909130874,0.421591441,P49841;P49841-2,P49841;P49841-2,GSK3B_HUMAN,GSK3B
+,2.241807677,0.42078654,Q9Y371,Q9Y371;Q9Y371-2;Q9Y371-3,SHLB1_HUMAN,SH3GLB1
+,1.818828803,0.420554479,A6NIH7,A6NIH7,U119B_HUMAN,UNC119B
+,3.191410655,0.420049032,P24534,P24534,EF1B_HUMAN,EEF1B2
+,2.392799115,0.418923696,Q8NB90,Q8NB90;Q8NB90-2,SPAT5_HUMAN,SPATA5
+,2.284957413,0.418392817,O75312,O75312,ZPR1_HUMAN,ZPR1
+,2.704252719,0.418291728,P15311,P15311,EZRI_HUMAN,EZR
+,2.971703134,0.417882919,Q9HB07,Q9HB07,MYG1_HUMAN,MYG1
+,1.488040101,0.417129834,O75155,O75155;O75155-2,CAND2_HUMAN,CAND2
+,1.110147164,0.416419347,Q96JI7;Q96JI7-2;Q96JI7-3,Q96JI7;Q96JI7-2;Q96JI7-3,SPTCS_HUMAN,SPG11
+,2.515948765,0.416332881,P62857,P62857,RS28_HUMAN,RPS28
+,1.44858108,0.415871938,P63220,P63220,RS21_HUMAN,RPS21
+,2.712363675,0.415147781,Q8NHP6,Q8NHP6;Q8NHP6-2,MSPD2_HUMAN,MOSPD2
+,2.535786862,0.414921443,Q6YHU6;Q6YHU6-3,Q6YHU6;Q6YHU6-2;Q6YHU6-3;Q6YHU6-5,THADA_HUMAN,THADA
+,1.80266455,0.414546331,O75190,O75190;O75190-2;O75190-3;Q8WWF6,DNJB6_HUMAN,DNAJB6
+,1.930765198,0.414300919,Q14653,Q14653;Q14653-4,IRF3_HUMAN,IRF3
+,1.038511208,0.413853645,Q13362;Q13362-3;Q13362-4;Q13362-5,Q13362;Q13362-3;Q13362-4;Q13362-5,2A5G_HUMAN,PPP2R5C
+,1.760728095,0.413692474,P23919;P23919-2,P23919;P23919-2,KTHY_HUMAN,DTYMK
+,3.185508693,0.413408915,O95163,O95163,ELP1_HUMAN,ELP1
+,2.196403905,0.412524541,Q7Z401;Q7Z401-2,Q7Z401;Q7Z401-2,MYCPP_HUMAN,DENND4A
+,2.249599456,0.412184397,Q9NY33,Q9NY33;Q9NY33-2;Q9NY33-4,DPP3_HUMAN,DPP3
+,2.577247864,0.412069321,Q96CW1;Q96CW1-2,Q96CW1;Q96CW1-2,AP2M1_HUMAN,AP2M1
+,2.378085858,0.411949158,P46020;P46020-2,P46020;P46020-2;P46020-3,KPB1_HUMAN,PHKA1
+,2.370124243,0.410547892,O14737,O14737;O14737-2,PDCD5_HUMAN,PDCD5
+,1.054085659,0.410503387,P40818;P40818-2,P40818;P40818-2,UBP8_HUMAN,USP8
+,2.555048659,0.409440358,Q2PPJ7;Q2PPJ7-2;Q2PPJ7-3,Q2PPJ7;Q2PPJ7-2;Q2PPJ7-3,RGPA2_HUMAN,RALGAPA2
+,2.98032394,0.408667882,Q00341,Q00341;Q00341-2,VIGLN_HUMAN,HDLBP
+,2.732295337,0.408152898,P30876,P30876,RPB2_HUMAN,POLR2B
+,2.607150792,0.407697678,Q9BW27;Q9BW27-3,Q9BW27;Q9BW27-2;Q9BW27-3,NUP85_HUMAN,NUP85
+,1.744606421,0.40714709,Q12756;Q12756-2;Q12756-3,Q12756;Q12756-2;Q12756-3,KIF1A_HUMAN,KIF1A
+,2.005871666,0.405024846,Q9Y4P3,Q9Y4P3,TBL2_HUMAN,TBL2
+,1.531892936,0.404859543,Q9NZI7;Q9NZI7-4,Q9NZI7;Q9NZI7-4,UBIP1_HUMAN,UBP1
+,1.204113519,0.404790878,Q12894;Q12894-2,Q12894;Q12894-2,IFRD2_HUMAN,IFRD2
+,1.424213125,0.404251099,Q9NYR9;Q9NYR9-2,Q9NYR9;Q9NYR9-2;Q9NYR9-3;Q9NYR9-4,KBRS2_HUMAN,NKIRAS2
+,3.57849043,0.403507868,P41250;P41250-2,P41250;P41250-2,GARS_HUMAN,GARS1
+,1.755874135,0.40311114,B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8,B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8,RBG10_HUMAN;RBG1L_HUMAN,RABGAP1L
+,1.347136722,0.402854284,Q9GZQ3,Q9GZQ3,COMD5_HUMAN,COMMD5
+,1.62731165,0.402787526,Q96BY7,Q96BY7,ATG2B_HUMAN,ATG2B
+,2.954542079,0.402242661,Q9Y484,Q9Y484;Q9Y484-2;Q9Y484-3,WIPI4_HUMAN,WDR45
+,1.178967048,0.40216128,Q9UJ41;Q9UJ41-3;Q9UJ41-4,Q9UJ41;Q9UJ41-3;Q9UJ41-4,RABX5_HUMAN,RABGEF1
+,2.26700693,0.401304245,Q9Y265,Q9Y265,RUVB1_HUMAN,RUVBL1
+,1.977524692,0.400986989,P30307;P30307-2,P30307;P30307-2;P30307-3;P30307-4,MPIP3_HUMAN,CDC25C
+,2.126480024,0.400726318,Q9BRV8;Q9BRV8-2,Q9BRV8;Q9BRV8-2,SIKE1_HUMAN,SIKE1
+,2.149441121,0.400405884,Q5XKP0,Q5XKP0,MIC13_HUMAN,MICOS13
+,1.981491823,0.398670832,P61077;P61077-2;P61077-3,P61077;P61077-2;P61077-3;P62837;P62837-2,UB2D3_HUMAN,UBE2D3
+,2.042765389,0.398447673,Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6,Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6;Q16881-7;Q9NNW7;Q9NNW7-2,TRXR1_HUMAN,TXNRD1
+,2.165461364,0.39801089,Q06203,Q06203,PUR1_HUMAN,PPAT
+,1.457674025,0.397342046,Q8TCX1;Q8TCX1-2;Q8TCX1-3;Q8TCX1-4;Q8TCX1-5,Q8TCX1;Q8TCX1-2;Q8TCX1-3;Q8TCX1-4;Q8TCX1-5,DC2L1_HUMAN,DYNC2LI1
+,1.621646369,0.39720281,Q9UBN7,Q9UBN7,HDAC6_HUMAN,HDAC6
+,2.807976816,0.395313263,Q92696,Q92696,PGTA_HUMAN,RABGGTA
+,3.129600252,0.395042419,Q9UNH7,Q9UNH7;Q9UNH7-2,SNX6_HUMAN,SNX6
+,1.418948028,0.394975026,Q15036;Q15036-2,Q15036;Q15036-2,SNX17_HUMAN,SNX17
+,2.317792563,0.394669851,Q13459;Q13459-2,Q13459;Q13459-2,MYO9B_HUMAN,MYO9B
+,1.247640279,0.394500097,Q9NR77,Q9NR77,PXMP2_HUMAN,PXMP2
+,1.852867947,0.394252777,Q8WXG6-2;Q8WXG6-3;Q8WXG6-4;Q8WXG6-5;Q8WXG6-8,Q8WXG6-2;Q8WXG6-3;Q8WXG6-4;Q8WXG6-5;Q8WXG6-6;Q8WXG6-8,MADD_HUMAN,MADD
+,3.045136859,0.39320755,Q92783;Q92783-2,Q92783;Q92783-2,STAM1_HUMAN,STAM
+,1.331991067,0.392136574,Q3ZCW2,Q3ZCW2,LEGL_HUMAN,LGALSL
+,2.069782649,0.391884486,Q9UFF9;Q9UFF9-3,Q9UFF9;Q9UFF9-3,CNOT8_HUMAN,CNOT8
+,1.241310519,0.389256795,Q86TB9;Q86TB9-2;Q86TB9-4,Q86TB9;Q86TB9-2;Q86TB9-4,PATL1_HUMAN,PATL1
+,2.26111934,0.3891716,Q14643;Q14643-2;Q14643-3;Q14643-4;Q14643-5;Q14643-6;Q14643-7;Q14643-8,Q14571;Q14573;Q14643;Q14643-2;Q14643-3;Q14643-4;Q14643-5;Q14643-6;Q14643-7;Q14643-8,ITPR1_HUMAN,ITPR1
+,1.970856103,0.388720194,Q86YQ8,Q86YQ8,CPNE8_HUMAN,CPNE8
+,1.649422639,0.388659159,Q96L93;Q96L93-2;Q96L93-4;Q96L93-6,Q96L93;Q96L93-2;Q96L93-4;Q96L93-5;Q96L93-6,KI16B_HUMAN,KIF16B
+,1.504810177,0.388579051,Q9BRX2,Q9BRX2,PELO_HUMAN,PELO
+,2.966650835,0.388046265,O94826,O94826,TOM70_HUMAN,TOMM70
+,1.231109517,0.387756348,Q9BQD3,Q9BQD3,KXDL1_HUMAN,KXD1
+,2.117999591,0.38697052,Q9NTK5,Q9NTK5;Q9NTK5-2;Q9NTK5-3,OLA1_HUMAN,OLA1
+,1.271800427,0.386473338,Q92995;Q92995-2,Q92995;Q92995-2,UBP13_HUMAN,USP13
+,1.17487521,0.385699908,Q9NXD2,Q9NXD2,MTMRA_HUMAN,MTMR10
+,3.817852581,0.385309219,Q99961,Q99961;Q99961-3;Q99962,SH3G1_HUMAN,SH3GL1
+,1.820879993,0.384628932,Q9NZ32,Q9NZ32,ARP10_HUMAN,ACTR10
+,2.032715914,0.383911769,Q8ND04;Q8ND04-2,Q8ND04;Q8ND04-2;Q8ND04-3,SMG8_HUMAN,SMG8
+,1.307023269,0.383818944,Q92597;Q92597-2;Q92597-3,Q92597;Q92597-2;Q92597-3,NDRG1_HUMAN,NDRG1
+,2.374556745,0.383448919,P60660;P60660-2,P60660;P60660-2,MYL6_HUMAN,MYL6
+,2.923887478,0.382955551,A0AVT1,A0AVT1;A0AVT1-2,UBA6_HUMAN,UBA6
+,2.258697143,0.382743835,O75165,O75165,DJC13_HUMAN,DNAJC13
+,2.639460239,0.382722855,P08134,P08134;P61586;P62745,RHOC_HUMAN,RHOC
+,1.860315214,0.37975057,Q9NPL8,Q9NPL8,TIDC1_HUMAN,TIMMDC1
+,3.168739846,0.379657745,Q13418,Q13418;Q13418-2;Q13418-3,ILK_HUMAN,ILK
+,1.728534768,0.378787994,Q9NYL2;Q9NYL2-2,Q9NYL2;Q9NYL2-2;Q9NYL2-3,M3K20_HUMAN,MAP3K20
+,1.065507836,0.378437042,Q14195-2,Q14195-2,DPYL3_HUMAN,DPYSL3
+,1.299033831,0.378241221,Q15257;Q15257-2;Q15257-3;Q15257-4,Q15257;Q15257-2;Q15257-3;Q15257-4,PTPA_HUMAN,PTPA
+,2.399229311,0.378154755,Q8N3C0,Q8N3C0,ASCC3_HUMAN,ASCC3
+,2.388085012,0.377938588,Q9UBW8,Q9UBW8,CSN7A_HUMAN,COPS7A
+,2.488903587,0.377251943,Q6P158,Q6P158;Q6P158-2;Q6P158-3,DHX57_HUMAN,DHX57
+,1.113368887,0.376900991,Q9H0F6;Q9H0F6-2,Q9H0F6;Q9H0F6-2,SHRPN_HUMAN,SHARPIN
+,2.732725467,0.376317978,Q9Y230,Q9Y230;Q9Y230-2,RUVB2_HUMAN,RUVBL2
+,1.571326712,0.37488238,P53611,P53611,PGTB2_HUMAN,RABGGTB
+,1.063212398,0.374873479,Q9Y4X5,Q9Y4X5,ARI1_HUMAN,ARIH1
+,1.547886845,0.374019623,P68402,P68402,PA1B2_HUMAN,PAFAH1B2
+,2.293184989,0.373994827,Q9NRF8,Q9NRF8,PYRG2_HUMAN,CTPS2
+,1.136351373,0.373428981,Q9H000,Q9H000;Q9H000-2,MKRN2_HUMAN,MKRN2
